Manx,English,Notes,Date,Source
"Tra yiow mayd lune dy iu, ","When we will get ale to drink, ",,07/12/1901,Isle of Man Examiner
As glout browe mooar dy fie. ,And a good big lump of pie. ,,07/12/1901,Isle of Man Examiner
,[35] CHRISTMAS SONG.,,07/12/1901,Isle of Man Examiner
,The old men at Christmas times was dancing in the public-houses and singing:— ,,07/12/1901,Isle of Man Examiner
"Darrey dy Graase Vorgaig, ","Dorothy Grace Margaret, Never saw I the like of you ; ",,07/12/1901,Isle of Man Examiner
Dy vaik mee rieau dty lheid ; ,"A Fiddler in Bradda, and piper in the Howe, ",,07/12/1901,Isle of Man Examiner
"Fiddler ayns Bradda, as piver s’yn Howe, ","And old sore Tommy at home, playing with the tongs. ",,07/12/1901,Isle of Man Examiner
As shen Hommy gonnagh ec y thie cloie er yn clou. ,,,07/12/1901,Isle of Man Examiner
,[36] CHRISTMAS CUSTOM.[19],"[19] IoME, Sat, Dec 14 1901; P: 6",14/12/1901,Isle of Man Examiner
,"In old times the farmers and fishermen used at Christmas time, after coming from the Oie’l Verree to go to a public-house and have a spree of Manx ale. ",,14/12/1901,Isle of Man Examiner
jough vie ,a spree of Manx ale,,14/12/1901,Isle of Man Examiner
Ta tree gholl thie dy gholl dy lhie,It’s time to go home to go to bed,,14/12/1901,Isle of Man Examiner
,[37] THE MANX UNNESUP.[20],"[20] IoME, Sat, Dec 21, 1901; P: 6",21/12/1901,Isle of Man Examiner
,I alluded in the first part of my Manx Folklore (see Lioar Vanninagh) to a custom still remembered in Cregneish on Christmas. The fiddlers then used to go about after twelve o’clock playing and singing some Manx song which they called the Unnesup. It ran thus:—,,21/12/1901,Isle of Man Examiner
"Goll er yn Unnesup, ","Going on the ‘unnesup’,",,21/12/1901,Isle of Man Examiner
"goll er yn Unnesup, ","going on the ‘unnesup’,",,21/12/1901,Isle of Man Examiner
"Daa oor roish yn laa, ","Two hours before daybreak,",,21/12/1901,Isle of Man Examiner
"Dooinney ta ny lhie marish ben dooinney elley, ","A man that is in bed with another man’s woman,",,21/12/1901,Isle of Man Examiner
Te bwaagh dy girree ayns traa. ,He is courteous to get up in time.,,21/12/1901,Isle of Man Examiner
"Goll er yn Unnesup, ","Going on the ‘unnesup’,",,21/12/1901,Isle of Man Examiner
"goll er yn Unnesup, ","going on the ‘unnesup’,",,21/12/1901,Isle of Man Examiner
"Daa oor lurg y mean oie, ","Two hours after midnight,",,21/12/1901,Isle of Man Examiner
"Dooinney ta ny lhie marish ben dooinney elley, ","A man that is in bed with another man’s woman,",,21/12/1901,Isle of Man Examiner
Te bwaagh dy girree ayns traa. ,He is courteous to get up in time.,,21/12/1901,Isle of Man Examiner
unnesup ,"a good thrashing, a clamour, a turbulent outcry",,21/12/1901,Isle of Man Examiner
,[39] The Old Manx Braains,,21/12/1901,Isle of Man Examiner
,,,,
braain laue ,"a kind of mill similar to the quern, but made of harder stone",,21/12/1901,Isle of Man Examiner
,,,,
braain vwillin,A large scale mill ,,21/12/1901,Isle of Man Examiner
,,,,
,[40] The Manx Carranes,,21/12/1901,Isle of Man Examiner
Carrane,"an oval piece of raw cow or horse hide, drawn neatly round the foot by thongs of the same material by means of holes in the margin. The hair was often kept inside for warmth, they were perfectly flexible and pierced with small holes for the purpose of allowing the water received in crossing rivers and morasses to escape.",,21/12/1901,Isle of Man Examiner
,,,,
,[41.] Fragment of an old song which used to be sung to the children :— [21],"[21] IoME, Sat, Jan 11, 1902; P: 7",11/01/1902,Isle of Man Examiner
"Nagh ren mee my lhiabbee,",Did I not make my bed?,,11/01/1902,Isle of Man Examiner
As hie my gys fea ? ,And went to my rest ?,,11/01/1902,Isle of Man Examiner
"As haink mitchoor stiagh,","A rogue came in, ",,11/01/1902,Isle of Man Examiner
As cha s’aym quoi ve.,I know not who he was. ,,11/01/1902,Isle of Man Examiner
Nagh ren mee my lhiabbee?,Did I not make my bed?,,11/01/1902,Isle of Man Examiner
As hie mee dy lhie ? ,And then lay down ?,,11/01/1902,Isle of Man Examiner
"As tra dirree mee[22] moghrey, ",When I rose in the morning ,[22] mee] text gives [my] (typo).,11/01/1902,Isle of Man Examiner
Va’n lhiabbee fud thie. ,My bed was scattered over I the house. ,,11/01/1902,Isle of Man Examiner
,And then there was the chorus :— ,,11/01/1902,Isle of Man Examiner
Yn cadley kiune or y beggan vree!,"Oh ! the calm sleep of weakness, ",,11/01/1902,Isle of Man Examiner
Ny mooar y nhee haink orrym!,Whatever came over me! [lt; [Wasn’t what happened to me (a) big (matter)!],,11/01/1902,Isle of Man Examiner
,[42 ] THE UHSAG VEG RUY (another version). ,,11/01/1902,Isle of Man Examiner
"Ushag veg ruy ny moanee doo, ","Little red bird of the black heath, ",,11/01/1902,Isle of Man Examiner
