Manx,English,Manx Original,Notes,Date,Source
Cronk ny Irree Laa,The Hill of the Rising Day,Cronk-ny-Iree-Lhaa,"[M.H., 01/01/1896]",01/01/1896,Mona's Herald
,,,,,
eearlys,"(the) earnest, an advance payment as a pledge for the remainder",,"[M.H., 01/01/1896]",01/01/1896,Mona's Herald
,"[‘— As they neared the port the “bimming yawls,” or buyers, boarded them, and, after they had made their bargain, they handed the fishermen a shilling or other coin, called the eearlys, or “earnest” and passed round a bottle of rum, to which every one on board helped himself out of a horn measure. The bargain was then completed.’",,,01/01/1896,Mona's Herald
dagon,"[This name is said to have originated from that of] a large fishing smack, so-called, which was built about the year 1750.] ",,"[The Biblical name ‘Dagon’ is a Philistine god of fishing.  Boat of this name is said to have run aground at ‘Gob y Dagon’, now known as Go-y-Deigan. [M.H., 01/01/1896]",01/01/1896,Mona's Herald
Chengey-ny-Mayrey Ellan Vannin  ,The Manx Language,,"[Manxman, 19/11/1898]",19/11/1898,Manxman
Deyr,My dear,,"[Manxman, 19/11/1898]",19/11/1898,Manxman
cabbag mashin’,an activity done ‘against doors’ on Hollantide Fair night (thumping doors with vegetables). ,,"[R.C., 23/12/1898]",23/12/1898,R.C.
y Chree,"Term of endearment, eg; darling, love, honey, dear, etc.",Achree,"R.C., 23/12/1898]",23/12/1898,R.C.
glashtin,Water horse,,M.S. 07/09/1889],07/09/1889,The Manx Sun
,,,,,
Phenawdry ,"‘Hairy stockings, or shaggy legs’ ... ‘an owl fairy that used to haunt the magher runt [round field] near St. Rinyans ... near Croshby [Crosby] — (‘bannished from Fairyland because he missed attending the) reholleys vooar, or great festival of the Harvest Moon.",,[M.S. 07/09/1889],07/09/1889,The Manx Sun
magher runt,,,[M.S. 07/09/1889],07/09/1889,The Manx Sun
Croshby,,,[M.S. 07/09/1889],07/09/1889,The Manx Sun
St Runian’s,,,[M.S. 07/09/1889],07/09/1889,The Manx Sun
rehollys vooar,,reholleys vooar,[M.S. 07/09/1889],07/09/1889,The Manx Sun
,,,[M.S. 07/09/1889],07/09/1889,The Manx Sun
"Lajin, Lattan",Latin,"Laggin, Lattan",M.S. 07/09/1889],07/09/1889,The Manx Sun
Cottonee,Visitors from Lancashire. ,,"[IoME, , 28/101899]",28/10/1899,Isle of Man Examiner
kiartag,an odd job,carthag,"[Ramsey Weekly News, , 21/04/1900]",21/04/1900,Ramsey Weekly News
Creck-Yn-Aigh-Vie,Jumble Sale [Good Luck Sale],,Flyer for a bring-and-buy sale in St Matthew’s New School [MNH F71/MAT 35816] 30th & 31st October 1912.],31/10/1912,Flyer for a bring-and-buy sale in St Matthew's New School
,,,,,
doaieagh,amiable,dooieagh,"[Juan-yn-Jagged Keir at the North: M.H.,11/10/1876]",11/10/1876,Mona's Herald
Droghad vooar,Big bridge,,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
,,,,,
Ellan Vannin Veg,Little Isle of Man,,"[Christmas at the Asylum: M.S.,28/12/1878]",28/12/1878,The Manx Sun
,,,,,
Ellan Vannin dy bragh. ,The Isle of Man forever.,,"[M.H.,08/011873]",08/01/1873,Mona's Herald
Ellan veen Vannin ,Dear Isle of Man,,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
Fail vuck,Pork,,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
