English,Manx,Notes
"• We will work together to ensure that Manx language continues to be visible, inclusive and accessible.","Nee mayd gobbragh cooidjagh dy yannoo shickyr dy jean yn Ghaelg tannaghtyn dy ve ry-akin mastey’n theay, foshlit da dy chooilley pheiagh as aashagh dy gheddyn.",
"• We will promote Manx as a valued part of our distinctive contemporary, cultural and national identity",Nee mayd cur y Ghaelg er e toshiaght myr ayrn scanshoil jeh’n enney ashoonagh as cultooroil er-lheh as noa-emshyragh ain.,
• We will ensure that the advantages of bilingualism are recognised.,Nee mayd jannoo shickyr dy bee vondeishyn daa-hengaghys er nyn doiggal.,
Progression,Goll er e hoshiaght,
"Mooinjer Veggey has been consistent in promoting the Manx language through their parent and tot groups, Possan Cloie, nursery programmes, and social media campaigns.","Ta Mooinjer Veggey er hannaghtyn dy chur yn Ghaelg er e toshiaght trooid nyn bossanyn paarant as lhiannoo, Possan Cloie, claareeyn roie-scoill as troddanyn meanyn sheshoil.",
"They have secured funding from the Manx Lottery Trust for their development officer to collaborate with other language communities on the Isle of Man, aiming to encourage Manx language usage and expand the network of active supporters.","T’ad er hickyraghey cooney argidoil veih Treisht y Chronghyr Manninagh son yn oaseir-lhiasee oc dy cho-obbraghey marish pobbleyn-glare elley ayns Mannin, dy ghreinnaghey ymmyd y Ghaelg as mooadaghey moggyl yn sleih ta pohlldal ee.",
Possan Ronsee Gaelgagh has actively engaged in organising outreach events targeting both the local and international communities.,Ta Possan Ronsee Gaelgagh dy breeoil er ghoaill ayns laue dy reaghey taghyrtyn mastey’n theay ta jeerit er y phobble ynnydagh as er y cho-phobble eddyr-ashoonagh.,
"Notably, they hosted the ‘Language and Society in the Isle of Man’ conference in May 2023, which drew more than 100 participants, both in person and online.","Sheeu tastey y ghoaill dy jagh yn co-haggloo ‘Glare as Sheshaght ayns Mannin’ er cummal ayns Mannin fo stiurey Possan Ronsee Gaelgagh ayns Mee ny Boaldyn 2023, as hayrn shen ny shlee na 100 dy ‘leih dy ghoaill ayrn, chammah dy persoonagh as er-linney.",
"Additionally, a lecture and a seminar on the future of Manx research formed part of the programme for the recent Cooish Festival.","Ny sodjey, va leaght as seminar mychione yn traa ry-heet jeh ronsaghey Gaelgagh er claare feailley yn Chooish hie er cummal er y gherrid.",
"In July 2023, the Culture Vannin Manx Gaelic Summer School made its debut, coinciding with Yn Chruinnaght Celtic Gathering.","Ayns Mee S’jerree yn Touree 2023, hie yn Scoill Souree Ghaelgagh er cummal son y chied cheayrt, ec y traa cheddin va’n Chruinnaght Celtic Gathering goll er.",
"The school attracted students not only from the Isle of Man but also from North America, garnering positive feedback.","Ren yn scoill souree tayrn stiagh studeyryn cha nee ynrican veih Mannin agh veih America Twoaie neesht, as va feedback feer vie ayn.",
This will now be an annual event held at the end of July.,Hed shoh er cummal dy reiltagh maghey shoh ec jerrey Mee S’jerree yn Touree.,
"During the Cooish Festival 2022, a total of fourteen events catering for all ages and skill levels, including Island-wide pop-up lessons, were held.","Choud’s va’n feailley Cooish goll er ayns 2022, va kiare taghyrtyn jeig er nyn gummal, kiarail cour dy chooilley eash as leval dy schlei, goaill stiagh lessoonyn pop-up fud yn Ellan.",
"The festival was coordinated by Culture Vannin’s Greinneyder, with support from Jeebin and the wider community.","Hie yn feailley er stiurey liorish yn Ghreinneyder voish Culture Vannin, lesh cooney veih Jeebin as yn pobble cadjin.",
"The Londeyr award, recognising everyday use of Manx, was presented to Douglas East MHK Joney Faragher and Fynoderee Distillery founder Tiffany Kerruish for their work to shine a light on the language.","Va’n aundyr Londeyr, ta cur enney er ymmyd laaoil jeh’n Ghaelg, er ny choyrt da OKF son Doolish Hiar Joney Faraghey as da Tiffany Kerruish hug er bun thie-imbyl Fynoderee son nyn obbyr oc dy haishbyney yn ghlare.",
"Manx language provision has been incorporated into the Department of Education, Sport and Culture’s (DESC) Introduction to the Isle of Man course for all new teachers and Tynwald Members have also received specialist training sessions focusing on Manx language awareness and parliamentary Manx.","Ta kiarail cour gynsagh Gaelg er ve currit stiagh ayns y choorse ta cur er enney Mannin liorish yn Rheynn Ynsee, Spoyrt as Cultoor, ta ry-gheddyn son dy chooilley ynseyder noa as ta olteynyn Tynwald er gheddyn seshoonyn traenal er-lheh mychione tushtey jeh’n Ghaelg as jannnoo ymmyd jee ayns yn ardwhaiyl.",
Yn Skimmee Gaelgagh has provided Manx lessons in schools upon request and actively promoted the use of Manx within educational institutions.,Ta’n Skimmee Gaelgagh er chiarail lessoonyn Gaelgagh ayns scoillyn tra v’eh shirrit as t’ad dy breeoil er chur er e hoshiaght ymmyd y Ghaelg çheu-sthie jeh sheshaghtyn-ynsee.,
"They have introduced introductory classes about the language to all new teachers on the island and have compiled a list of recommended measures endorsed by international bodies such as the Council of Europe, UNESCO, and OSACE.","T’ad er chur er bun brastyllyn-toshee mychione y ghlare cour dy chooilley ynseyder noa er yn ellan as t’ad er chur ry-cheilley rolley dy haaseyn moyllit as pohlldit liorish sheshaghtyn eddyr-ashoonagh goll-rish Coonceil yn Oarpey, UNESCO as OSACE.",
"A Certificate for Celtic Language Teaching, delivered by a retired CELTA instructor, is being offered to enhance the teaching skills of educators and explore contemporary theories of language acquisition.","Ta Teisht Ynsagh Çhengaghyn Celtiagh, er ny ynsagh liorish ynseyder CELTA ny haaue goll er çhebbal dy vishaghey schleiyn ynsee ynseyderyn as dy scrutaghey sheinyssyn noa-emshyragh mychione cosney stiagh glare.",
"Efforts have also been made to raise the profile of the Manx language in various media outlets, including Isle of Man Newspapers and Manx Radio, as well as on social media.","Ta eabyn er ve jeant dy hroggal enney er y Ghaelg mastey caghlaaghyn ammyr meanyn, goaill stiagh Pabyryn Naight Ellan Vannin as Radio Vannin, chammah’s er meanyn sheshoil.",
Future Work,Obbyr ‘sy Traa Ry-Heet,
Yn Skimmee Gaelgagh has plans to extend Manx language lessons to staff members at QE2 High School.,Ta fo’n Skimmee Gaelgagh dy heeyney magh lessoonyn Gaelgagh da olteynyn jeh skimmee Ardscoill BE2.,
"Additionally, they are committed to organising ongoing outreach events and other initiatives to engage with the broader community.",Chammah’s shoh t’ad er ghoaill orroo hene dy reaghey taghyrtyn mastey’n theay as shaleeyn elley dy hayrn stiagh yn pobble cadjin.,
"Possan Ronsee Gaelgagh aims to promote academic research on Manx-related subjects, including linguistics, literature, language revitalisation and language policy and planning.","Ta Possan Ronsee Gaelgagh kiarail dy chur er e hoshiaght ronsaghey ard-schoillaragh er cooishyn Gaelgagh, ny mast’oc ta glareydys, lettyraght, aavioghey glare, polasee glare as plannal glare.",
They will also provide guidance and support to researchers interested in exploring Manx language topics.,Ver ad leeideilys as cooney da ronseyderyn ta sym oc er feddyn magh ny smoo mychione cooishyn Gaelgagh.,
"Mooinjer Veggey has ambitious projects in the pipeline, including the creation of a monthly podcast that will delve into the Manx language and explore other languages used in the Isle of Man.","Ta shaleeyn gloyrviandagh er ny birranyn ec Mooinjer Veggey, goaill stiagh croo podchreeley meeoil vees scrutaghey yn Ghaelg as glaraghyn elley ta ymmyd jeant jeu ayns Mannin.",
"Additionally, they plan to produce short bilingual films in Manx, potentially incorporating other minority languages and providing English subtitles for wider accessibility.","Chammah’s shoh, t’ad kiarail cur magh filmyn giare daa-hengagh ayns Gaelg, oddagh goaill stiagh myn-ghlaraghyn elley lesh fo-hitleyn Baarlagh dy roshtyn ny smoo dy ‘leih.",
Theme 3: Manx for the Manx speaking community,Cooish 3: Gaelg son y phobble Gaelgagh,
Strategic Commitment,Dean strateyshagh,
"• We will support the social use of the Manx language at home, work, in schools and educational settings and in free time.","Nee mayd ymmyd sheshoil ny Gaelgey y phohlldal ec y thie, ec yn obbyr, ayns scoillyn as ayns traa seyr.",
• We will work to ensure the language is inclusive and reflects contemporary society.,Nee mayd gobbragh dy hickyraghey dy vel yn çhengey foshlit da dy chooilley pheiagh as dy vel ee cooie da sheshaght ny laghyn t’ayn nish.,
